Task ID,Feature,Acceptance Criteria,Test Case,Expected Result,Actual Result,Status,Bug Found,Retest Status
CareerVoice Productionization Task 1,Deterministic audit domain and contracts,Readiness and gap calculations are deterministic,Run careerAudit domain tests,All domain tests pass,"12/12 focused careerAudit tests passed",PASS,No,PASS
CareerVoice Productionization Task 1,Deterministic audit domain and contracts,Roadmap handoff contract matches persisted wire payload,Compile aliases across domain/api/index/roadmap and run contract test,"studentId targetRoleId readinessScore and priorityGaps agree across consumers","Contract test passed and TypeScript build accepted canonical aliases",PASS,"Previous contract drift fixed",PASS
CareerVoice Productionization Task 1,Deterministic audit domain and contracts,Canonical audit report contract matches persisted report payload,Compile domain/API aliases and run contract fixture test,"Exact targetRole overallScore hiringBenchmark recommendations evidence and diagnostic fields agree","Contract fixture passed and TypeScript accepted one canonical AuditReportContract alias",PASS,"Previous report contract drift fixed",PASS
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Every published role has exactly one non-empty competency model,Execute connected-project model defect query,0 defect rows,0 defect rows,PASS,No,PASS
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Every published role skill has exactly one mapping inventory row,Execute mapping inventory and stale-row assertions,"0 inventory defects and 0 stale mappings","110 role skills; 0 inventory defects; 0 stale mappings",PASS,No,PASS
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Mapping state is internally valid,Execute partial/contradictory/blank/duplicate mapping assertions,0 malformed mapping rows,0 malformed mapping rows,PASS,No,PASS
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Canonical score and gap lineage remains consistent,Execute orphan cross-audit evidence and deterministic gap assertions,0 lineage defects,"0 signal/evidence orphans; 0 gap orphans; 0 cross-audit/evidence mismatches; 0 deterministic gap mismatches; 0 recommendation orphans",PASS,No,PASS
CareerVoice Productionization Task 2,Pathwisse catalog coverage,Published CareerVoice skills resolve to authoritative Pathwisse skill and stage IDs,Validate mapping rows against authoritative Pathwisse catalog,100% externally verified mappings,"0/110 mapped; 110 explicit UNMAPPED rows; no authoritative Pathwisse skill/stage catalog exists in the repository or connected Supabase schema",BLOCKED,"Missing authoritative catalog/export or reviewed crosswalk",Not retested
CareerVoice Productionization Task 2,Migration reproducibility,Repository and connected-project migration history reconcile,Compare normalized applied SQL with Git migration and align filename,Matching migration provenance,"Live and Git normalized length 10568 and MD5 3150eef972a7265c6473086746949ee8; Git filename reconciled to live UTC version 20260821160033",PASS,"Local-time filename drift fixed without reapplying SQL",PASS
CareerVoice Productionization Task 2,Crosswalk safety,Mapping candidates are role-scoped and ambiguous labels are not auto-approved,Inspect Voice role-skill inventory and crosswalk rules,"No global skill-name join; duplicate and compound labels require contextual review","23 roles and 110 rows inspected; 4 slugs repeat across roles and 28 labels contain slash or ampersand; guarded runbook committed",PASS,No,PASS
CareerVoice Productionization Task 2,Authorized catalog access,Stable Pathwisse IDs and parentage can be validated from an approved source,Obtain approved read-only catalog export or explicitly authorized connection,"Published path skill and stage hierarchy with provenance and snapshot digest","Separate Pathwisse production catalog is outside the project explicitly named in this request; export not performed",BLOCKED,"Approved authoritative catalog source is missing",Not retested
CareerVoice Productionization Task 2,Crosswalk structural preflight,Manifest exactly matches the published 110-row CareerVoice inventory,Run focused manifest validator tests for cardinality duplicate keys extra or missing keys and role or skill label drift,Every inventory mismatch is rejected,"Focused tests passed for 110-row set equality duplicate keys missing or extra keys and role or skill label drift",PASS,No,PASS
CareerVoice Productionization Task 2,Crosswalk approval safety,Only reviewed structurally complete candidates may be APPROVED,Run adversarial tests for UUIDs stages decisions scores margins methods timestamps provenance compound labels and mixed snapshots,Malformed or ambiguous approvals are rejected,"20/20 focused tests passed after fixing loose timestamps match-method ceilings malformed REVIEW evidence mixed catalog snapshots and REVIEW margin consistency",PASS,"Independent QA found and retest confirmed fixes for REVIEW candidate snapshot consistency and derived-margin gaps",PASS
CareerVoice Productionization Task 2,Authoritative catalog validation,Approved Pathwisse IDs resolve to published path skill and ordered stage parentage,Validate manifest against approved catalog snapshot and digest,Every approved target and parent relation is verified,"Structural preflight explicitly reports that catalog existence parentage status stage order and digest authenticity remain unverified",BLOCKED,"Approved authoritative catalog snapshot is missing",Not retested
CareerVoice Productionization Task 3,Server configuration auth sessions and evidence contract,Configuration/auth/evidence contracts compile and regressions pass,Run complete direct Node test suite and TypeScript lint,All tests and lint pass,"89/89 tests passed; npm run lint passed",PASS,No,PASS
CareerVoice Productionization Task 3,Server configuration auth sessions and evidence contract,Privileged audit endpoints authenticate and enforce audit ownership,Run authorization helper tests and inspect all four audit routes,"Owner and verified service callers allowed; missing/cross-user sessions denied","4/4 authorization cases passed; finalize evaluate report and roadmap-handoff all use the same fail-closed check",PASS,"Previous service-role IDOR fixed",PASS
CareerVoice Productionization Task 3,Server configuration auth sessions and evidence contract,Sensitive audit output routes cannot bypass auth through development fallbacks,Run route-source security assertions and database-unavailable error-path check,"No dev fallback before authentication; missing Supabase returns explicit 503","2/2 route/fallback regressions passed; synthetic finalize/report/handoff branches removed",PASS,"Independent QA dev auth bypass fixed",PASS
CareerVoice Productionization Task 4,Backend-driven role fit and competency loading,Competency endpoint has no production seed fallback,Review route and run role-fit/domain regression tests,"Explicit database/model errors and deterministic role fit","Route returns DATABASE_UNAVAILABLE / COMPETENCY_MODEL_MISSING / COMPETENCY_MODEL_READ_FAILED; tests passed",PASS,"Previous seed fallback fixed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Malformed explanation writes no signal score or gap,Run focused pre-persistence failure regression test,No lineage writes before explanation validation,"Test passed; only audit session status update observed",PASS,"Previous partial-write review issue fixed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Provider outages remain retryable,Run classification and explanation outage tests,AI_UNAVAILABLE with HTTP 503,"Both outage tests passed with AI_UNAVAILABLE/503",PASS,"Previous error remapping issue fixed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Retry cannot retain stale classification lineage,Run existing-signal retry regression test,Existing signal updated before score/gap upserts,"Regression test passed; evidence ID confidence and extracted level updated on existing signal",PASS,"Residual partial-persistence retry issue fixed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Structured AI output contains every required identifier exactly once,Run duplicate competency dimension and explanation regressions,Duplicate required IDs rejected before persistence,"3/3 duplicate-ID regressions passed",PASS,"Previous duplicate acceptance fixed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Concurrent and repeated finalization remains idempotent,Run unique-conflict recovery and stale-recommendation pruning regressions,"Concurrent winner reused and obsolete recommendations removed","3/3 concurrency/pruning regressions passed",PASS,"Previous race and stale-row gaps fixed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Re-audit never invents scores from unpersisted client inputs,Inspect ReAuditModal and run static regression,"No reuse of completed audit ID; no client-side score synthesis","Compatibility submission disabled with explicit new-audit guidance; static regression passed",PASS,"Previous synthetic re-audit scores removed",PASS
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Production bundle and complete regression suite remain valid,Run direct Node suite lint build and diff check,All validation succeeds,"89/89 tests passed; lint passed; build passed with 794 KB warning; diff check passed",PASS,No,PASS
